"Id","Prediction"
0,4056751.5
1,3340510.4
2,3945394
3,3371682.8
4,4044761.1
5,4489514.1
6,4196193.9
7,3782272.4
8,4816277.2
9,4084552.1
10,4315190.3
11,3805611
12,4773940.3
13,4861037.9
14,3990859.1
15,4600271.4
16,4983427.8
17,3927262.6
18,4550262.9
19,3820710.6
20,3600951.7
21,4536277.9
22,4164894.9
23,5299949.1
24,4591121.1
25,3409650.7
26,3063847.3
27,4218189.9
28,4312890.9
29,4166413.5
30,4656167.6
31,3484590.8
32,3387241.7
33,5013385.8
34,3445500.9
35,4258340.8
36,3984666.6
37,4089222.4
38,3070967.7
39,3995599.4
40,4268540.5
41,4058234.5
42,4368690.9
43,5171279.9
44,5117594.9
45,3132492
46,3698025.8
47,3072617.1
48,4712254.7
49,4224962.4
50,4674158.8
51,4231160.6
52,4252899.2
53,3170914.8
54,3091314.8
55,4345911.6
56,4835971.1
57,4562532.7
58,4879304.5
59,4834830.9
60,3467352.2
61,3650616
62,3940398.9
63,3934768.6
64,4563879.3
65,5977123
66,4189016.9
67,5913403
68,4783874.5
69,4282360.2
70,3895027.6
71,3870621.7
72,3922663.4
73,3677804.5
74,4874129.1
75,4556574.4
76,4192484.8
77,3851840.8
78,3998071.8
79,3756780
80,5312712.4
81,4288879.6
82,4072537.4
83,4859266.7
84,6200497.1
85,2412386.6
86,4402516.6
87,4241102.7
88,3983457.5
89,4092029.2
90,4394737.1
91,4486039.3
92,3237182.2
93,4237047.8
94,5157947.8
95,4190086
96,4019211.8
97,3811272.6
98,4086155.7
99,4756466.5
100,4852779.6
101,2671270.3
102,4015180.6
103,3885147.1
104,4057750.3
105,3157157.5
106,4458311
107,5163037.9
108,4959207
109,4215335.2
110,4830698.3
111,4786904.3
112,5091608
113,3988521.7
114,4056387.1
115,4452740.4
116,3407459.4
117,4767347.8
118,3361926.4
119,4215985.9
120,5011184
121,4652552.4
122,4299488.8
123,5416379.9
124,3367104.1
125,3926321.3
126,4792924.1
127,3411687.1
128,4359038.5
129,4097405.4
130,3227840.4
131,4249431.9
132,4734791.9
133,3528902.2
134,4049465.8
135,3724561.8
136,4222486.8
137,3975456.9
138,4766041.8
139,4069041.4
140,5723215.6
141,3521529.7
142,4746074.6
143,3552210.9
144,4299887.6
145,3848953.4
146,3958054.5
147,3402808.5
148,4218098.1
149,4055453.3
150,4362084.9
151,3478036.9
152,5264323.8
153,6114676.3
154,3727066.2
155,4510762
156,4891231
157,4976833.6
158,3863669.5
159,3558093.3
160,3444072.3
161,4274403.8
162,4019494.3
163,5548081.1
164,5581244
165,3991613.4
166,4015752.8
167,3896969
168,3966947.2
169,4812584
170,3516893.3
171,3677173.6
172,4054806.8
173,4764277.8
174,5156807.2
175,3438429.1
176,5975820.3
177,4214572.7
178,4400205.5
179,3450263.6
180,4182238.5
181,3936758
182,4087548.3
183,4045416.2
184,4212224.6
185,2919136.8
186,3591873.1
187,4813945.2
188,5375293.7
189,4503044.2
190,4238369.8
191,4509723.3
192,5122446.8
193,4803397.1
194,4023334.7
195,5070041.9
196,4021443.8
197,2845410.6
198,3735901.3
199,4128637.3
200,4700166.5
201,4027228.3
202,4410353.9
203,5106197.9
204,5010097.5
205,5305727.3
206,5007757.3
207,4434828
